id,title,description,availability,condition,price,link,image_link,brand,product_type
BAT-005,Batería de gel Sonne 12 V 200 Ah,"Batería de gel Sonne 12 V 200 Ah. Batería sellada tipo gel para almacenamiento de energía en sistemas solares y respaldo. Capacidad nominal indicada en el nombre; confirmar ciclos, peso y garantía según el modelo entregado.",in stock,new,2600.00 GTQ,https://esquisolar.com/productos.html?producto=BAT-005,https://esquisolar.com/assets/productos/baterias/bateria-sonne-200ah.png,Sonne,Baterías
INV-OP-001,Inversor de onda pura MUST 12 V 1.0 kW,Inversor de onda senoidal pura MUST de 1000 W para bancos de baterías de 12 V. Convierte la energía almacenada en corriente alterna estable para equipos electrónicos y cargas compatibles.,in stock,new,1195.00 GTQ,https://esquisolar.com/productos.html?producto=INV-OP-001,https://esquisolar.com/assets/productos/inversores/inversor-must-onda-pura-1000w.png,MUST,Inversores de onda pura
INV-OP-002,Inversor de onda pura MUST 24 V 1.5 kW,Inversor de onda senoidal pura MUST de 1500 W para bancos de baterías de 24 V. Convierte la energía almacenada en corriente alterna estable para equipos electrónicos y cargas compatibles.,in stock,new,1795.00 GTQ,https://esquisolar.com/productos.html?producto=INV-OP-002,https://esquisolar.com/assets/productos/inversores/inversor-must-onda-pura-1500w.png,MUST,Inversores de onda pura
INV-OP-003,Inversor de onda pura MUST 24 V 2.0 kW,Inversor de onda senoidal pura MUST de 2000 W para bancos de baterías de 24 V. Convierte la energía almacenada en corriente alterna estable para equipos electrónicos y cargas compatibles.,in stock,new,2095.00 GTQ,https://esquisolar.com/productos.html?producto=INV-OP-003,https://esquisolar.com/assets/productos/inversores/inversor-must-onda-pura-2000w.png,MUST,Inversores de onda pura
PWM-001,Controlador de carga PWM Sunshine Solar 10 A,Controlador de carga PWM Sunshine Solar 10 A. Regulador para controlar la carga de baterías desde paneles solares. Seleccione el amperaje y voltaje adecuados para su sistema fotovoltaico.,in stock,new,125.00 GTQ,https://esquisolar.com/productos.html?producto=PWM-001,https://esquisolar.com/assets/productos/controladores/controlador-sunshine-pwm-10-20a.png,Sunshine Solar,Controladores PWM
PWM-002,Controlador de carga PWM Sunshine Solar 20 A,Controlador de carga PWM Sunshine Solar 20 A. Regulador para controlar la carga de baterías desde paneles solares. Seleccione el amperaje y voltaje adecuados para su sistema fotovoltaico.,in stock,new,175.00 GTQ,https://esquisolar.com/productos.html?producto=PWM-002,https://esquisolar.com/assets/productos/controladores/controlador-sunshine-pwm-10-20a.png,Sunshine Solar,Controladores PWM
PWM-003,Controlador de carga PWM Sunshine Solar 30 A,Controlador de carga PWM Sunshine Solar 30 A. Regulador para controlar la carga de baterías desde paneles solares. Seleccione el amperaje y voltaje adecuados para su sistema fotovoltaico.,in stock,new,205.00 GTQ,https://esquisolar.com/productos.html?producto=PWM-003,https://esquisolar.com/assets/productos/controladores/controlador-sunshine-pwm-30a.png,Sunshine Solar,Controladores PWM
PWM-004,Controlador de carga PWM LDSOLAR 10 A,Controlador de carga PWM LDSOLAR 10 A. Regulador PWM para controlar la carga de baterías desde paneles solares. Seleccionar el amperaje y voltaje adecuados para el arreglo fotovoltaico.,in stock,new,185.00 GTQ,https://esquisolar.com/productos.html?producto=PWM-004,https://esquisolar.com/assets/productos/controladores/ldsolar-pwm-10-30a-nueva.png,LDSOLAR,Controladores PWM
PWM-005,Controlador de carga PWM LDSOLAR 20 A,Controlador de carga PWM LDSOLAR 20 A. Regulador PWM para controlar la carga de baterías desde paneles solares. Seleccionar el amperaje y voltaje adecuados para el arreglo fotovoltaico.,in stock,new,225.00 GTQ,https://esquisolar.com/productos.html?producto=PWM-005,https://esquisolar.com/assets/productos/controladores/ldsolar-pwm-10-30a-nueva.png,LDSOLAR,Controladores PWM
PWM-006,Controlador de carga PWM LDSOLAR 30 A,Controlador de carga PWM LDSOLAR 30 A. Regulador PWM para controlar la carga de baterías desde paneles solares. Seleccionar el amperaje y voltaje adecuados para el arreglo fotovoltaico.,in stock,new,285.00 GTQ,https://esquisolar.com/productos.html?producto=PWM-006,https://esquisolar.com/assets/productos/controladores/ldsolar-pwm-10-30a-nueva.png,LDSOLAR,Controladores PWM
PWM-007,Controlador de carga PWM LDSOLAR 40 A,Controlador de carga PWM LDSOLAR 40 A. Regulador PWM para controlar la carga de baterías desde paneles solares. Seleccionar el amperaje y voltaje adecuados para el arreglo fotovoltaico.,in stock,new,390.00 GTQ,https://esquisolar.com/productos.html?producto=PWM-007,https://esquisolar.com/assets/productos/controladores/ldsolar-pwm-40a-nueva.png,LDSOLAR,Controladores PWM
PWM-008,Controlador de carga PWM LDSOLAR 50 A,Controlador de carga PWM LDSOLAR 50 A. Regulador PWM para controlar la carga de baterías desde paneles solares. Seleccionar el amperaje y voltaje adecuados para el arreglo fotovoltaico.,in stock,new,490.00 GTQ,https://esquisolar.com/productos.html?producto=PWM-008,https://esquisolar.com/assets/productos/controladores/ldsolar-pwm-50a-nueva.png,LDSOLAR,Controladores PWM
PWM-009,Controlador de carga PWM LDSOLAR 60 A,Controlador de carga PWM LDSOLAR 60 A. Regulador PWM para controlar la carga de baterías desde paneles solares. Seleccionar el amperaje y voltaje adecuados para el arreglo fotovoltaico.,in stock,new,550.00 GTQ,https://esquisolar.com/productos.html?producto=PWM-009,https://esquisolar.com/assets/productos/controladores/ldsolar-pwm-60a-nueva.png,LDSOLAR,Controladores PWM
PWM-010,Controlador de carga PWM PowMr 30 A,Controlador de carga PWM PowMr de 30 A para controlar la carga de baterías desde paneles solares. Seleccione el amperaje y voltaje adecuados para su sistema fotovoltaico.,in stock,new,375.00 GTQ,https://esquisolar.com/productos.html?producto=PWM-010,https://esquisolar.com/assets/productos/controladores/controlador-powmr-pwm-30a.png,PowMr,Controladores PWM
PWM-011,Controlador de carga PWM PowMr 60 A,Controlador de carga PWM PowMr de 60 A para controlar la carga de baterías desde paneles solares. Seleccione el amperaje y voltaje adecuados para su sistema fotovoltaico.,in stock,new,595.00 GTQ,https://esquisolar.com/productos.html?producto=PWM-011,https://esquisolar.com/assets/productos/controladores/controlador-powmr-pwm-60a.png,PowMr,Controladores PWM
MPPT-001,Controlador de carga MPPT PowMr 20 A,"Controlador de carga MPPT PowMr de 20 A, diseñado para aprovechar eficientemente la energía de los paneles solares y gestionar la carga de baterías compatibles.",in stock,new,695.00 GTQ,https://esquisolar.com/productos.html?producto=MPPT-001,https://esquisolar.com/assets/productos/controladores/controlador-powmr-mppt.png,PowMr,Controladores MPPT
MPPT-002,Controlador de carga MPPT PowMr 30 A,"Controlador de carga MPPT PowMr de 30 A, diseñado para aprovechar eficientemente la energía de los paneles solares y gestionar la carga de baterías compatibles.",in stock,new,840.00 GTQ,https://esquisolar.com/productos.html?producto=MPPT-002,https://esquisolar.com/assets/productos/controladores/controlador-powmr-mppt.png,PowMr,Controladores MPPT
MPPT-003,Controlador de carga MPPT PowMr 40 A,"Controlador de carga MPPT PowMr de 40 A, diseñado para aprovechar eficientemente la energía de los paneles solares y gestionar la carga de baterías compatibles.",in stock,new,1200.00 GTQ,https://esquisolar.com/productos.html?producto=MPPT-003,https://esquisolar.com/assets/productos/controladores/controlador-powmr-mppt.png,PowMr,Controladores MPPT
MPPT-004,Controlador de carga MPPT PowMr PRO 60 A,Controlador de carga MPPT PowMr PRO de 60 A. Controlador MPPT diseñado para aprovechar eficientemente la energía disponible del arreglo solar y gestionar la carga de baterías compatibles.,in stock,new,1495.00 GTQ,https://esquisolar.com/productos.html?producto=MPPT-004,https://esquisolar.com/assets/productos/controladores/controlador-powmr-mppt-pro.png,PowMr,Controladores MPPT
MPPT-005,Controlador de carga MPPT PowMr PRO 80 A,Controlador de carga MPPT PowMr PRO de 80 A. Controlador MPPT diseñado para aprovechar eficientemente la energía disponible del arreglo solar y gestionar la carga de baterías compatibles.,in stock,new,1920.00 GTQ,https://esquisolar.com/productos.html?producto=MPPT-005,https://esquisolar.com/assets/productos/controladores/controlador-powmr-mppt-pro.png,PowMr,Controladores MPPT
MPPT-006,Controlador de carga MPPT PowMr PRO 100 A,Controlador de carga MPPT PowMr PRO de 100 A. Controlador MPPT diseñado para aprovechar eficientemente la energía disponible del arreglo solar y gestionar la carga de baterías compatibles.,in stock,new,2300.00 GTQ,https://esquisolar.com/productos.html?producto=MPPT-006,https://esquisolar.com/assets/productos/controladores/controlador-powmr-mppt-pro.png,PowMr,Controladores MPPT
REF-001,Congelador solar AC/DC 118 L,Congelador solar de 118 litros con adaptador AC/DC incluido. Diseñado para conservar alimentos y productos a temperaturas entre -20 °C y 0 °C.,in stock,new,2495.00 GTQ,https://esquisolar.com/productos.html?producto=REF-001,https://esquisolar.com/assets/images/catalogo/publicidad-congelador-esquisolar-118l.png,Sunshine Solar,Refrigeración solar
REF-002,Congelador solar AC/DC 168 L,Congelador solar de 168 litros con adaptador AC/DC incluido. Diseñado para conservar alimentos y productos a temperaturas entre -20 °C y 0 °C.,in stock,new,2895.00 GTQ,https://esquisolar.com/productos.html?producto=REF-002,https://esquisolar.com/assets/images/catalogo/publicidad-congelador-esquisolar-168l.png,Sunshine Solar,Refrigeración solar
REF-003,Congelador solar AC/DC 218 L,Congelador solar de 218 litros con adaptador AC/DC incluido. Diseñado para conservar alimentos y productos a temperaturas entre -20 °C y 0 °C.,in stock,new,3595.00 GTQ,https://esquisolar.com/productos.html?producto=REF-003,https://esquisolar.com/assets/images/catalogo/publicidad-congelador-esquisolar-218l.png,Sunshine Solar,Refrigeración solar
REF-004,Congelador solar AC/DC 318 L,Congelador solar de 318 litros con adaptador AC/DC incluido. Diseñado para conservar alimentos y productos a temperaturas entre -20 °C y 0 °C.,in stock,new,4795.00 GTQ,https://esquisolar.com/productos.html?producto=REF-004,https://esquisolar.com/assets/images/catalogo/publicidad-congelador-esquisolar-318l.png,Sunshine Solar,Refrigeración solar
